cluster_id,railway,section,line,chainage_start_m,chainage_end_m,span_m,n_defects,max_amp
58,North Eastern Railway,Gonda Jn-Burhwal Jn,DN,699323.0,699325.0,2.0,2,40.0
59,North Eastern Railway,Gonda Jn-Burhwal Jn,DN,699349.6,699350.6,1.0,2,23.0
60,North Eastern Railway,Gonda Jn-Burhwal Jn,DN,699375.0,699375.0,0.0,2,26.0
61,North Eastern Railway,Gonda Jn-Burhwal Jn,DN,701188.8,701188.8,0.0,2,23.0
62,North Eastern Railway,Gonda Jn-Burhwal Jn,DN,701343.0,701343.0,0.0,2,25.0
63,North Eastern Railway,Gonda Jn-Burhwal Jn,DN,701652.0,701654.0,2.0,2,23.0
64,North Eastern Railway,Gonda Jn-Burhwal Jn,IIIrd,665483.0,665483.3,0.30000000004656613,2,25.0
65,North Eastern Railway,Gonda Jn-Burhwal Jn,IIIrd,668623.0,668625.0,2.0,2,35.0
66,North Eastern Railway,Gonda Jn-Burhwal Jn,IIIrd,676937.95,676937.95,0.0,2,31.0
67,North Eastern Railway,Gonda Jn-Burhwal Jn,IIIrd,677254.25,677254.25,0.0,2,29.0
68,North Eastern Railway,Gonda Jn-Burhwal Jn,UP,657975.0,657975.0,0.0,2,32.0
69,North Western Railway,Jaipur-Phulera,DN,244614.17,244615.0,0.8299999999871943,2,40.0
70,North Western Railway,Jaipur-Phulera,DN,246869.0,246869.0,0.0,2,47.0
71,North Western Railway,Jaipur-Phulera,DN,249841.0,249842.5,1.5,2,70.0
72,North Western Railway,Jaipur-Phulera,DN,250092.0,250094.0,2.0,2,62.0
73,North Western Railway,Jaipur-Phulera,DN,251176.5,251180.0,3.5,2,60.0
74,North Western Railway,Jaipur-Phulera,DN,251214.0,251218.0,4.0,2,25.0
75,North Western Railway,Jaipur-Phulera,DN,251533.0,251533.0,0.0,2,52.0
76,North Western Railway,Jaipur-Phulera,DN,255244.5,255245.0,0.5,2,70.0
77,North Western Railway,Jaipur-Phulera,DN,255346.0,255346.0,0.0,2,100.0
78,North Western Railway,Jaipur-Phulera,DN,259338.0,259342.0,4.0,2,50.0
79,North Western Railway,Jaipur-Phulera,DN,260830.0,260830.5,0.5,2,50.0
80,North Western Railway,Jaipur-Phulera,DN,265597.0,265597.0,0.0,2,45.0
81,North Western Railway,Jaipur-Phulera,DN,268030.0,268033.0,3.0,2,50.0
82,North Western Railway,Jaipur-Phulera,DN,270033.0,270036.0,3.0,2,100.0
83,North Western Railway,Jaipur-Phulera,DN,271244.0,271245.27,1.2700000000186265,2,50.0
84,North Western Railway,Jaipur-Phulera,DN,287327.0,287327.0,0.0,2,40.0
85,North Western Railway,Jaipur-Phulera,UP,243199.0,243200.0,1.0,2,80.0
86,North Western Railway,Jaipur-Phulera,UP,248067.0,248071.0,4.0,2,48.0
87,North Western Railway,Jaipur-Phulera,UP,257551.0,257555.0,4.0,2,30.0
88,North Western Railway,Jaipur-Phulera,UP,269371.0,269373.0,2.0,2,50.0
89,North Western Railway,Jaipur-Phulera,UP,270300.0,270300.7,0.7000000000116415,2,40.0
90,North Western Railway,Jaipur-Phulera,UP,276788.0,276790.0,2.0,2,50.0
